03/02 ,VIR SEPA MR DOE J OHN virement Ivret a ,,1000,00 ,
03/02 ,Virement par mobile ,92,94 ,,
03/03 ,VIR SEPA MR DOE J OHN ,,1000,00 ,



Page: 3

Table: Table_1
Date ,Détail des opérations en euros ,Débit ,Crédit ,
,virement Ivret a ,,,
21/03 ,Virement par mobile ,200,00 ,,
29/03 ,Virement par mobile ,5 800,00 ,,
04/04 ,VIR SEPA MR DOE J OHN virement Ivret a ,,1000,00 ,
07/04 ,Virement par mobile ,300,00 ,,
12/04 ,Virement par mobile ,300,00 ,,
28/04 ,Virement par mobile ,,100,00 ,
03/05 ,VIR SEPA MR DOE J OHN virement Ivret a ,,1000,00 ,
09/05 ,Virement par mobile ,500,00 ,,
11/05 ,Virement par mobile ,1000,00 ,,
11/05 ,Virement par mobile ,500,00 ,,
14/05 ,Virement par mobile ,1000,00 ,,
03/06 ,VIR SEPA MR DOE J OHN virement Ivret a ,,1000,00 ,
04/07 ,VIR SEPA MR DOE J OHN virement Ivret a ,,1000,00 ,
18/07 ,Virement par mobile ,150,00 ,,
25/07 ,Virement par mobile ,100,00 ,,
26/07 ,Virement par mobile ,100,00 ,,
12/08 ,Virement par mobile ,1000,00 ,,
20/08 ,Virement par mobile ,350,00 ,,
24/08 ,Virement par mobile ,300,00 ,,
16/09 ,RET. VIREMENT INTERNE RB VIR ,7 000,00 ,,
24/10 ,Virement par mobile ,,1500,00 ,
21/11 ,Virement par mobile ,400,00 ,,
23/11 ,Virement par mobile ,300,00 ,,
25/11 ,Virement par mobile ,200,00 ,,
07/12 ,Virement par mobile ,300,00 ,,
31/12 ,INTERETS 2016 ,,53,12 ,
07/01 ,Virement par mobile ,300,00 ,,
19/01 ,Virement par mobile ,150,00 ,,



Page: 4

Table: Table_1
Date ,Détail des opérations en euros ,Débit ,Crédit ,
05/02 ,Virement par mobile ,640,53 ,,
10/02 ,Virement par mobile ,100,00 ,,
13/02 ,Virement par mobile ,250,00 ,,
22/02 ,Virement par mobile ,100,00 ,,
26/02 ,Virement par mobile ,,350,00 ,
09/03 ,Virement par mobile ,700,00 ,,
18/03 ,Virement par mobile ,200.00 ,,
29/12 ,Virement par mobile ,,1000,00 ,
31/12 ,INTERETS 2016 ,,3,90 ,
,,,1003,90 ,

Table: Table_2
Date ,Détail des opérations en euros ,Débit ,Crédit ,
,,,3703,59 ,
21/05 ,VERSEMENT CAT VALEUR AU 16/05 ,,272,96 ,
16/09 ,VERSEMENT D'INTERETS ,,26,66 ,
16/09 ,CLOTURE VIR INTERNE FE VIR ,4 003,21 ,,
Vos ,codes bancaires internationaux ,,0,00 ,

Table: Table_3
COMPTE DE DEPOT ,BIC ,: CEPA FRPP 000 - IBAN : FR9 12345 12345 123456789 ,
LIV.A EN CPTE ,BIC ,: CEPA FRPP 000 IBAN : FR 99 12345 12345 123456789 ,
L.J EUNE EN CPTE ,BIC ,: CEPA FRPP 000 IBAN : FR 99 12345 12345 123456789 ,



